"id","request_name","iteration","real_time","cpu_time","mhz_per_cpu","scheme_type","batching_enabled"
1,"SecretBookOnPlatform",10,275.789,90.625,2823,"BGV",True
2,"SecretBookOnPlatform",5000,282.352,70.625,2810,"BFV",False
3,"SecretBookOnMobilityProviders",10,183.095,45.312,2826,"CKKS",True
4,"SecretBookOnPlatformSymmetric",1000,99.605,37.171,2845,"CKKS",True
5,"SecretBookOnPlatformSymmetric",1000,234.515,67.796,2825,"BGV",False
6,"SecretUsageTest",1000,241.884,14.015,2837,"BGV",True
7,"PublicBookOnMobilityProviders",10,0.859,0,2828,NULL,NULL
8,"SecretUsageTest",1000,255.748,14.312,2825,"BGV",False
9,"SecretBookOnMobilityProviders",10,373.846,81.25,2813,"BGV",False
10,"BgvSealContext",1000,1024.341,1001.843,2838,NULL,NULL
11,"SecretBookOnMobilityProvidersSymmetric",1000,386.701,73.015,2841,"BFV",False
12,"SecretBookOnPlatform",10,137.275,51.562,2826,"CKKS",True
13,"SecretUsageTest",10,255.54,64.062,2845,"BFV",True
14,"SecretBookOnMobilityProviders",10,363.074,84.375,2823,"BGV",True
15,"SecretBookOnMobilityProvidersSymmetric",1000,402.744,76.359,2822,"BFV",True
16,"SecretSymmetricUsageTest",100,369.424,68.906,2813,"BGV",False
17,"SecretSymmetricUsageTest",5000,265.15,14.9,2847,"BGV",False
18,"SecretSymmetricUsageTest",100,181.818,14.375,2836,"CKKS",True
19,"SecretBookOnPlatformSymmetric",10,404.472,59.375,2825,"BFV",False
20,"SecretSymmetricUsageTest",100,228.306,12.5,2830,"BGV",True
21,"CkksSealContext",1000,328.743,319.343,2838,NULL,NULL
22,"SecretUsageTest",10,580.104,120.312,2825,"BFV",False
23,"PublicBookOnPlatform",10,0.308,0,2828,NULL,NULL
24,"SecretBookOnPlatform",100,268.668,86.406,2813,"BGV",False
25,"SecretBookOnPlatform",100,268.9,90.937,2830,"BGV",True
26,"PublicUsageTest",10,2.394,0,2828,NULL,NULL
27,"SecretBookOnPlatform",100,129.528,59.687,2836,"CKKS",True
28,"SecretSymmetricUsageTest",5000,311.896,60.043,2822,"BFV",True
29,"SecretBookOnMobilityProviders",100,174.154,60,2836,"CKKS",True
30,"SecretBookOnMobilityProviders",100,475.921,102.5,2813,"BGV",False
31,"SecretSymmetricUsageTest",10,187.735,23.437,2823,"BGV",True
32,"SecretBookOnMobilityProviders",100,356.021,96.25,2830,"BGV",True
33,"PublicBookOnPlatform",100,0.187,0,2823,NULL,NULL
34,"SecretUsageTest",1000,189.922,13.921,2845,"CKKS",True
35,"SecretBookOnPlatformSymmetric",1000,225.408,72.859,2837,"BGV",True
36,"SecretBookOnPlatform",10,328.2,65.625,2845,"BFV",True
37,"SecretBookOnMobilityProviders",1000,353.568,102.062,2837,"BGV",True
38,"SecretSymmetricUsageTest",1000,302.659,59.609,2822,"BFV",True
39,"SecretBookOnPlatformSymmetric",100,283.753,68.125,2807,"BFV",False
40,"BfvSealContext",100,1024.389,1005.625,2808,NULL,NULL
41,"SecretBookOnMobilityProviders",1000,359.538,93.812,2825,"BGV",False
42,"SecretUsageTest",100,318.037,60.937,2848,"BFV",True
43,"SecretBookOnMobilityProvidersSymmetric",1000,337.901,70.25,2825,"BGV",False
44,"SecretBookOnMobilityProvidersSymmetric",100,159.239,45.312,2836,"CKKS",True
45,"PublicBookOnPlatform",1000,0.162,0,2827,NULL,NULL
46,"SecretBookOnPlatformSymmetric",100,289.135,74.218,2848,"BFV",True
47,"SecretBookOnMobilityProvidersSymmetric",1000,331.299,75.687,2837,"BGV",True
48,"SecretBookOnMobilityProviders",5000,140.6,68.743,2824,"CKKS",True
49,"SecretUsageTest",10,194.413,14.062,2823,"BGV",True
50,"SecretSymmetricUsageTest",5000,311.743,59.959,2810,"BFV",False
51,"PublicBookOnMobilityProviders",5000,0.297,0.071,2835,NULL,NULL
52,"SecretUsageTest",10,206.801,21.875,2813,"BGV",False
53,"SecretBookOnPlatformSymmetric",5000,225.55,72.053,2810,"BGV",True
54,"SecretBookOnPlatformSymmetric",10,247.185,57.812,2813,"BGV",False
55,"SecretBookOnPlatform",100,303.358,81.25,2807,"BFV",False
56,"SecretBookOnMobilityProvidersSymmetric",10,443.007,76.562,2845,"BFV",True
57,"SecretBookOnMobilityProviders",5000,397.969,71.825,2822,"BFV",True
58,"SecretBookOnPlatformSymmetric",10,334.778,65.625,2845,"BFV",True
59,"PublicUsageTest",1000,0.904,0,2827,NULL,NULL
60,"SecretBookOnMobilityProvidersSymmetric",10,1129.966,143.75,2825,"BFV",False
61,"SecretBookOnMobilityProviders",5000,381.906,71.162,2810,"BFV",False
62,"SecretBookOnPlatform",100,301.948,82.5,2848,"BFV",True
63,"SecretBookOnMobilityProvidersSymmetric",5000,328.255,74.081,2847,"BGV",False
64,"SecretUsageTest",100,317.788,59.531,2807,"BFV",False
65,"CkksSealContext",5000,327.471,321.437,2835,NULL,NULL
66,"SecretSymmetricUsageTest",5000,85.105,14.471,2824,"CKKS",True
67,"SecretBookOnMobilityProvidersSymmetric",5000,282.912,82.418,2810,"BGV",True
68,"SecretBookOnPlatform",10,292.564,90.625,2813,"BGV",False
69,"SecretSymmetricUsageTest",1000,303.024,60.062,2841,"BFV",False
70,"SecretBookOnMobilityProvidersSymmetric",100,397.87,72.5,2807,"BFV",False
71,"SecretSymmetricUsageTest",1000,203.563,12.078,2837,"BGV",True
72,"SecretBookOnMobilityProviders",1000,391.483,79.437,2841,"BFV",False
73,"SecretBookOnPlatformSymmetric",100,242.938,65.468,2813,"BGV",False
74,"SecretSymmetricUsageTest",10,543,164.062,2825,"BFV",False
75,"PublicUsageTest",5000,1.087,0.065,2835,NULL,NULL
